player_name,profile_link,player_throwing_arm,player_salary_cap
Dennis Dixon,https://www.pro-football-reference.com/players/D/DixoDe00.htm,Right,
Josh Johnson,https://www.pro-football-reference.com/players/J/JohnJo05.htm,Right,"423,529"
Erik Ainge,https://www.pro-football-reference.com/players/A/AingEr00.htm,,
Colt Brennan,https://www.pro-football-reference.com/players/B/BrenCo00.htm,,
Andre Woodson,https://www.pro-football-reference.com/players/W/WoodAn00.htm,,
Matt Flynn,https://www.pro-football-reference.com/players/F/FlynMa00.htm,Right,
Alex Brink,https://www.pro-football-reference.com/players/B/BrinAl00.htm,,
JaMarcus Russell,https://www.pro-football-reference.com/players/R/RussJa00.htm,Right,
Brady Quinn,https://www.pro-football-reference.com/players/Q/QuinBr00.htm,Right,
Kevin Kolb,https://www.pro-football-reference.com/players/K/KolbKe00.htm,Right,
John Beck,https://www.pro-football-reference.com/players/B/BeckJo00.htm,Right,
Drew Stanton,https://www.pro-football-reference.com/players/S/StanDr00.htm,Right,
Trent Edwards,https://www.pro-football-reference.com/players/E/EdwaTr01.htm,Right,
Isaiah Stanback,https://www.pro-football-reference.com/players/S/StanIs00.htm,,
Jeff Rowe,https://www.pro-football-reference.com/players/R/RoweJe00.htm,,
Troy Smith,https://www.pro-football-reference.com/players/S/SmitTr02.htm,Right,
Jordan Palmer,https://www.pro-football-reference.com/players/P/PalmJo20.htm,Right,
Tyler Thigpen,https://www.pro-football-reference.com/players/T/ThigTy00.htm,Right,
Vince Young,https://www.pro-football-reference.com/players/Y/YounVi00.htm,Right,
Matt Leinart,https://www.pro-football-reference.com/players/L/LeinMa00.htm,Left,
Jay Cutler,https://www.pro-football-reference.com/players/C/CutlJa00.htm,Right,
Kellen Clemens,https://www.pro-football-reference.com/players/C/ClemKe00.htm,Right,"1,000,000"
Tarvaris Jackson,https://www.pro-football-reference.com/players/J/JackTa00.htm,Right,
Charlie Whitehurst,https://www.pro-football-reference.com/players/W/WhitCh02.htm,Right,
Brodie Croyle,https://www.pro-football-reference.com/players/C/CroyBr00.htm,Right,
Brad Smith,https://www.pro-football-reference.com/players/S/SmitBr01.htm,Right,
Ingle Martin,https://www.pro-football-reference.com/players/M/MartIn00.htm,,
Reggie McNeal,https://www.pro-football-reference.com/players/M/McNeRe00.htm,,
Bruce Gradkowski,https://www.pro-football-reference.com/players/G/GradBr00.htm,Right,
Alex Smith,https://www.pro-football-reference.com/players/S/SmitAl03.htm,Right,
Aaron Rodgers,https://www.pro-football-reference.com/players/R/RodgAa00.htm,Right,"12,550,000"
Jason Campbell,https://www.pro-football-reference.com/players/C/CampJa00.htm,Right,
Charlie Frye,https://www.pro-football-reference.com/players/F/FryeCh00.htm,Right,
Andrew Walter,https://www.pro-football-reference.com/players/W/WaltAn00.htm,Right,
Kyle Orton,https://www.pro-football-reference.com/players/O/OrtoKy00.htm,Right,
Dan Orlovsky,https://www.pro-football-reference.com/players/O/OrloDa00.htm,Right,
Derek Anderson,https://www.pro-football-reference.com/players/A/AndeDe00.htm,Right,"1,550,000"
Matt Cassel,https://www.pro-football-reference.com/players/C/CassMa00.htm,Right,"1,750,000"
Ryan Fitzpatrick,https://www.pro-football-reference.com/players/F/FitzRy00.htm,Right,
Eli Manning,https://www.pro-football-reference.com/players/M/MannEl00.htm,Right,"13,000,000"
Philip Rivers,https://www.pro-football-reference.com/players/R/RivePh00.htm,Right,
Ben Roethlisberger,https://www.pro-football-reference.com/players/R/RoetBe00.htm,Right,
J.P. Losman,https://www.pro-football-reference.com/players/L/LosmJ.00.htm,Right,
Matt Schaub,https://www.pro-football-reference.com/players/S/SchaMa00.htm,Right,"2,250,000"
Luke McCown,https://www.pro-football-reference.com/players/M/McCoLu00.htm,Right,
Craig Krenzel,https://www.pro-football-reference.com/players/K/KrenCr00.htm,Right,
Andy Hall,https://www.pro-football-reference.com/players/H/HallAn00.htm,,
Jim Sorgi,https://www.pro-football-reference.com/players/S/SorgJi00.htm,Right,
John Navarre,https://www.pro-football-reference.com/players/N/NavaJo00.htm,,
Cody Pickett,https://www.pro-football-reference.com/players/P/PickCo00.htm,,
Matt Mauck,https://www.pro-football-reference.com/players/M/MaucMa00.htm,,
Bradlee Van Pelt,https://www.pro-football-reference.com/players/V/VanPBr00.htm,,
Carson Palmer,https://www.pro-football-reference.com/players/P/PalmCa00.htm,Right,"15,500,000"
Byron Leftwich,https://www.pro-football-reference.com/players/L/LeftBy00.htm,Right,
Kyle Boller,https://www.pro-football-reference.com/players/B/BollKy00.htm,Right,
Rex Grossman,https://www.pro-football-reference.com/players/G/GrosRe00.htm,Right,
Dave Ragone,https://www.pro-football-reference.com/players/R/RagoDa00.htm,Left,
Chris Simms,https://www.pro-football-reference.com/players/S/SimmCh00.htm,Left,
Seneca Wallace,https://www.pro-football-reference.com/players/W/WallSe00.htm,Right,
Brian St. Pierre,https://www.pro-football-reference.com/players/S/St.PBr20.htm,,
Drew Henson,https://www.pro-football-reference.com/players/H/HensDr00.htm,,
Brooks Bollinger,https://www.pro-football-reference.com/players/B/BollBr00.htm,Right,
Kliff Kingsbury,https://www.pro-football-reference.com/players/K/KingKl00.htm,,
Gibran Hamdan,https://www.pro-football-reference.com/players/H/HamdGi00.htm,,
Ken Dorsey,https://www.pro-football-reference.com/players/D/DorsKe00.htm,Right,
David Carr,https://www.pro-football-reference.com/players/C/CarrDa00.htm,Right,
Joey Harrington,https://www.pro-football-reference.com/players/H/HarrJo00.htm,Right,
Patrick Ramsey,https://www.pro-football-reference.com/players/R/RamsPa00.htm,Right,
Josh McCown,https://www.pro-football-reference.com/players/M/McCoJo01.htm,Right,
David Garrard,https://www.pro-football-reference.com/players/G/GarrDa00.htm,Right,
Rohan Davey,https://www.pro-football-reference.com/players/D/DaveRo01.htm,,
Randy Fasani,https://www.pro-football-reference.com/players/F/FasaRa00.htm,,
Kurt Kittner,https://www.pro-football-reference.com/players/K/KittKu00.htm,Right,
Craig Nall,https://www.pro-football-reference.com/players/N/NallCr00.htm,,
J.T. O'Sullivan,https://www.pro-football-reference.com/players/O/OSulJ.00.htm,Right,
Jeff Kelly,https://www.pro-football-reference.com/players/K/KellJe21.htm,,
Michael Vick,https://www.pro-football-reference.com/players/V/VickMi00.htm,Left,
Drew Brees,https://www.pro-football-reference.com/players/B/BreeDr00.htm,Right,
Quincy Carter,https://www.pro-football-reference.com/players/C/CartQu00.htm,Right,
Marques Tuiasosopo,https://www.pro-football-reference.com/players/T/TuiaMa00.htm,,
Chris Weinke,https://www.pro-football-reference.com/players/W/WeinCh00.htm,Right,
Sage Rosenfels,https://www.pro-football-reference.com/players/R/RoseSa00.htm,Right,
Jesse Palmer,https://www.pro-football-reference.com/players/P/PalmJe00.htm,Right,
Mike McMahon,https://www.pro-football-reference.com/players/M/McMaMi00.htm,Right,
A.J. Feeley,https://www.pro-football-reference.com/players/F/FeelA.00.htm,Right,
Chad Pennington,https://www.pro-football-reference.com/players/P/PennCh01.htm,Right,
Chris Redman,https://www.pro-football-reference.com/players/R/RedmCh00.htm,Right,
Tee Martin,https://www.pro-football-reference.com/players/M/MartTe00.htm,,
Marc Bulger,https://www.pro-football-reference.com/players/B/BulgMa00.htm,Right,
Spergon Wynn,https://www.pro-football-reference.com/players/W/WynnSp00.htm,Right,
Tom Brady,https://www.pro-football-reference.com/players/B/BradTo00.htm,Right,
Todd Husak,https://www.pro-football-reference.com/players/H/HusaTo20.htm,,
Tim Rattay,https://www.pro-football-reference.com/players/R/RattTi00.htm,Right,
Jarious Jackson,https://www.pro-football-reference.com/players/J/JackJa01.htm,,
Joe Hamilton,https://www.pro-football-reference.com/players/H/HamiJo20.htm,,
Tim Couch,https://www.pro-football-reference.com/players/C/CoucTi00.htm,Right,
Donovan McNabb,https://www.pro-football-reference.com/players/M/McNaDo00.htm,Right,
Akili Smith,https://www.pro-football-reference.com/players/S/SmitAk00.htm,Right,
Daunte Culpepper,https://www.pro-football-reference.com/players/C/CulpDa00.htm,Right,
Cade McNown,https://www.pro-football-reference.com/players/M/McNoCa00.htm,Left,
Shaun King,https://www.pro-football-reference.com/players/K/KingSh00.htm,Right,
Brock Huard,https://www.pro-football-reference.com/players/H/HuarBr00.htm,Left,
Joe Germaine,https://www.pro-football-reference.com/players/G/GermJo00.htm,,
Aaron Brooks,https://www.pro-football-reference.com/players/B/BrooAa00.htm,Right,
Michael Bishop,https://www.pro-football-reference.com/players/B/BishMi00.htm,,
Chris Greisen,https://www.pro-football-reference.com/players/G/GreiCh00.htm,Right,
Scott Covington,https://www.pro-football-reference.com/players/C/CoviSc00.htm,,
Peyton Manning,https://www.pro-football-reference.com/players/M/MannPe00.htm,Right,
Ryan Leaf,https://www.pro-football-reference.com/players/L/LeafRy00.htm,Right,
Charlie Batch,https://www.pro-football-reference.com/players/B/BatcCh00.htm,Right,
Jonathan Quinn,https://www.pro-football-reference.com/players/Q/QuinJo00.htm,Right,
Brian Griese,https://www.pro-football-reference.com/players/G/GrieBr00.htm,Right,
Matt Hasselbeck,https://www.pro-football-reference.com/players/H/HassMa00.htm,Right,
Moses Moreno,https://www.pro-football-reference.com/players/M/MoreMo00.htm,Right,
Jim Druckenmiller,https://www.pro-football-reference.com/players/D/DrucJi00.htm,,
Jake Plummer,https://www.pro-football-reference.com/players/P/PlumJa00.htm,Right,
Danny Wuerffel,https://www.pro-football-reference.com/players/W/WuerDa00.htm,Right,
Pat Barnes,https://www.pro-football-reference.com/players/B/BarnPa20.htm,,
Mike Cherry,https://www.pro-football-reference.com/players/C/CherMi00.htm,,
Chuck Clements,https://www.pro-football-reference.com/players/C/ClemCh21.htm,,
Tony Graziani,https://www.pro-football-reference.com/players/G/GrazTo00.htm,Left,
Koy Detmer,https://www.pro-football-reference.com/players/D/DetmKo00.htm,Right,
Wally Richardson,https://www.pro-football-reference.com/players/R/RichWa00.htm,,
Tony Banks,https://www.pro-football-reference.com/players/B/BankTo00.htm,Right,
Bobby Hoying,https://www.pro-football-reference.com/players/H/HoyiBo00.htm,Right,
Jeff Lewis,https://www.pro-football-reference.com/players/L/LewiJe01.htm,,
Danny Kanell,https://www.pro-football-reference.com/players/K/KaneDa00.htm,Right,
Steve McNair,https://www.pro-football-reference.com/players/M/McNaSt00.htm,Right,
Kerry Collins,https://www.pro-football-reference.com/players/C/CollKe00.htm,Right,
Todd Collins,https://www.pro-football-reference.com/players/C/CollTo00.htm,Right,
Kordell Stewart,https://www.pro-football-reference.com/players/S/StewKo00.htm,Right,
Stoney Case,https://www.pro-football-reference.com/players/C/CaseSt00.htm,Right,
Eric Zeier,https://www.pro-football-reference.com/players/Z/ZeieEr00.htm,Right,
Rob Johnson,https://www.pro-football-reference.com/players/J/JohnRo00.htm,Right,
Dave Barr,https://www.pro-football-reference.com/players/B/BarrDa20.htm,,
Steve Stenstrom,https://www.pro-football-reference.com/players/S/StenSt00.htm,Right,
Craig Whelihan,https://www.pro-football-reference.com/players/W/WhelCr00.htm,Right,
Heath Shuler,https://www.pro-football-reference.com/players/S/ShulHe00.htm,Right,
Trent Dilfer,https://www.pro-football-reference.com/players/D/DilfTr00.htm,Right,
Perry Klein,https://www.pro-football-reference.com/players/K/KleiPe20.htm,,
Doug Nussmeier,https://www.pro-football-reference.com/players/N/NussDo00.htm,Left,
Jim Miller,https://www.pro-football-reference.com/players/M/MillJi00.htm,Right,
Gus Frerotte,https://www.pro-football-reference.com/players/F/FrerGu00.htm,Right,
Jay Walker,https://www.pro-football-reference.com/players/W/WalkJa22.htm,,
Steve Matthews,https://www.pro-football-reference.com/players/M/MattSt00.htm,Left,
Glenn Foley,https://www.pro-football-reference.com/players/F/FoleGl00.htm,Right,
Drew Bledsoe,https://www.pro-football-reference.com/players/B/BledDr00.htm,Right,
Rick Mirer,https://www.pro-football-reference.com/players/M/MireRi00.htm,Right,
Billy Joe Hobert,https://www.pro-football-reference.com/players/H/HobeBi00.htm,Right,
Mark Brunell,https://www.pro-football-reference.com/players/B/BrunMa00.htm,Left,
Gino Torretta,https://www.pro-football-reference.com/players/T/ToreGi00.htm,,
Alex Van Pelt,https://www.pro-football-reference.com/players/V/VanPAl00.htm,Right,
Elvis Grbac,https://www.pro-football-reference.com/players/G/GrbaEl00.htm,Right,
Trent Green,https://www.pro-football-reference.com/players/G/GreeTr00.htm,Right,
David Klingler,https://www.pro-football-reference.com/players/K/KlinDa00.htm,Right,
Tommy Maddox,https://www.pro-football-reference.com/players/M/MaddTo00.htm,Right,
Matt Blundin,https://www.pro-football-reference.com/players/B/BlunMa00.htm,,
Tony Sacca,https://www.pro-football-reference.com/players/S/SaccTo00.htm,,
Casey Weldon,https://www.pro-football-reference.com/players/W/WeldCa00.htm,Right,
Will Furrer,https://www.pro-football-reference.com/players/F/FurrWi00.htm,Left,
Tom Brady,https://www.pro-football-reference.com/players/B/BradTo00.htm,Right,
Nick Foles,https://www.pro-football-reference.com/players/F/FoleNi00.htm,Right,
Kirk Cousins,https://www.pro-football-reference.com/players/C/CousKi00.htm,Right,"23,943,600"
Alex Smith,https://www.pro-football-reference.com/players/S/SmitAl03.htm,Right,
Carson Wentz,https://www.pro-football-reference.com/players/W/WentCa00.htm,Right,
Jimmy Garoppolo,https://www.pro-football-reference.com/players/G/GaroJi00.htm,,"820,077"
Tom Brady,https://www.pro-football-reference.com/players/B/BradTo00.htm,Right,
Cam Newton,https://www.pro-football-reference.com/players/N/NewtCa00.htm,Right,"13,166,666"
Russell Wilson,https://www.pro-football-reference.com/players/W/WilsRu00.htm,Right,
Aaron Rodgers,https://www.pro-football-reference.com/players/R/RodgAa00.htm,Right,"12,550,000"
Odell Beckham Jr.,https://www.pro-football-reference.com/players/B/BeckOd00.htm,,"1,839,027"
J.J. Watt,https://www.pro-football-reference.com/players/W/WattJ.00.htm,,"10,500,000"
Adrian Peterson,https://www.pro-football-reference.com/players/P/PeteAd01.htm,,"1,000,000"
Peyton Manning,https://www.pro-football-reference.com/players/M/MannPe00.htm,Right,
Frank Gifford,https://www.pro-football-reference.com/players/G/GiffFr00.htm,,
Eli Manning,https://www.pro-football-reference.com/players/M/MannEl00.htm,Right,"13,000,000"
Tony Romo,https://www.pro-football-reference.com/players/R/RomoTo00.htm,Right,
Ben Roethlisberger,https://www.pro-football-reference.com/players/R/RoetBe00.htm,Right,
DeMarco Murray,https://www.pro-football-reference.com/players/M/MurrDe00.htm,,"6,250,000"
Michael Oher,https://www.pro-football-reference.com/players/O/OherMi20.htm,,
